repo_name,maturity_level
0x4D31/galah,1
3rdIteration/btcrecover,2
3rdIteration/seedsigner,1
567-labs/instructor,4
AMICI-dev/AMICI,2
AhmedElywa/prayCalendar,1
AhmedSalih3d/SPHExample,2
AliAkhtari78/SpotifyScraper,1
Alphonsus411/pCobra,1
Arbuzov/home_assistant_delonghi_primadonna,1
AutomationOptimization/tsce_demo,1
Azure-Samples/azure-ai-travel-agents,2
Azure/LogicAppsUX,4
Azure/adx-mon,4
Azure/autorest.typescript,2
Azure/azure-container-networking,1
Azure/azure-mcp,4
Azure/azure-sdk-tools,4
Azure/azure-storage-azcopy,1
Azure/eno,1
BenjaminHoegh/ParsedownExtended,1
BerriAI/litellm,3
CSSLab/maia-platform-frontend,2
Cap-go/capgo,4
CapSoftware/Cap,2
CircuitProApp/CircuitPro,1
CitizensFoundation/policy-synth,2
CitizensFoundation/your-priorities-app,2
Clarifai/clarifai-python,2
Comfy-Org/registry-web,2
ComposioHQ/composio,2
Cratis/Chronicle,2
Crossmint/crossmint-sdk,1
CuteReimu/TheMessage,2
DannyMac180/meta-agent,4
DaveSkender/Stock.Indicators,2
DeForestt/aflat,1
Dereje1/smart-recipe-generator,2
Digine-Labs/rosettanet,2
Dissimilis/BookmarksManager,1
Djobleezy/DeepSea-Dashboard,2
Drakonis96/plexytrack,1
ESPresense/ESPresense-companion,2
EduMIPS64/edumips64,3
EricLBuehler/mistral.rs,2
EvotecIT/HtmlTinkerX,1
F2011B/ami2py,1
F2011B/pythonPltReader,1
FinAegis/core-banking-prototype-laravel,4
FreeTAKTeam/Reticulum-Telemetry-Hub,1
GlareDB/glaredb,1
HikaruEgashira/parsentry,2
IfcLCA/IfcLCA,1
IvanCampos/Foundation-Models-Playgrounds,1
Jakedismo/KuzuMem-MCP,4
Jawziyya/azkar-ios,1
Jij-Inc/ommx,2
Jordiag/azure-devops-mcp-server,1
KAMKEEL/CustomNPC-Plus,1
Kanaries/graphic-walker,1
Kanaries/ml,2
