repo,level,label,confidence,artifacts,tools,l2_primary,l3_primary,l4_primary
1.58BitNet,1,Ad Hoc,1.0,2,,0,2,0
8-_-_-D,1,Ad Hoc,1.0,1,,1,0,0
AFL-automation,2,Grounded Prompting,0.76,7,shared,7,0,0
AGI-Alpha-Agent-v0,4,Agentic Orchestration,0.742,160,"github-copilot, shared",74,30,56
AMICI,4,Agentic Orchestration,0.732,30,github-copilot,25,4,1
ART,4,Agentic Orchestration,0.638,12,claude-code,4,6,2
ATAK-Maps,1,Ad Hoc,1.0,3,,2,1,0
AirQuality-NARX-CNN-LSTM,1,Ad Hoc,1.0,1,,1,0,0
AlgoTrading,4,Agentic Orchestration,0.704,12181,shared,4217,6253,1711
Amplitude-Kotlin,3,Agent-Augmented,0.835,11,github-copilot,8,3,0
Analog,4,Agentic Orchestration,0.44,3,github-copilot,1,1,1
Android-Studio-Tutorials-Java-Edition,4,Agentic Orchestration,0.677,18,shared,13,4,1
AndroidTVMovieParadise,1,Ad Hoc,1.0,1,,1,0,0
ApplicationInsights-JS,4,Agentic Orchestration,0.792,74,github-copilot,55,16,3
ApplicationInsights-Java,4,Agentic Orchestration,0.625,10,github-copilot,9,0,1
AutoGPT,4,Agentic Orchestration,0.727,131,"github-copilot, shared",64,47,20
AzooKeyKanaKanjiConverter,3,Agent-Augmented,0.807,20,github-copilot,18,2,0
AzureTRE,4,Agentic Orchestration,0.842,115,github-copilot,103,9,3
BentoML,4,Agentic Orchestration,0.726,12,github-copilot,6,5,1
BerePi,1,Ad Hoc,1.0,372,,319,40,13
BookmarksManager,1,Ad Hoc,1.0,1,,1,0,0
ByteSync,3,Agent-Augmented,0.66,7,shared,6,1,0
Cap,4,Agentic Orchestration,0.727,19,"claude-code, github-copilot, shared",12,5,2
Chronicle,4,Agentic Orchestration,0.706,119,github-copilot,56,27,36
Chronicle-Bytes,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Core,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Logger,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Test-Framework,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Threads,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Values,2,Grounded Prompting,0.44,1,shared,1,0,0
Chronicle-Wire,3,Agent-Augmented,0.44,2,shared,1,1,0
CircuitPro,1,Ad Hoc,1.0,3,,1,2,0
CommercialBreaker,4,Agentic Orchestration,0.761,22,github-copilot,12,9,1
CustomNPC-Plus,2,Grounded Prompting,0.685,6,github-copilot,6,0,0
DYYY,1,Ad Hoc,1.0,1,,1,0,0
Dataset-Curation-Tool,1,Ad Hoc,1.0,2,,2,0,0
DeepSea-Dashboard,4,Agentic Orchestration,0.742,13,shared,10,2,1
DigiScript,1,Ad Hoc,1.0,17,,10,6,1
DispatchMail,1,Ad Hoc,1.0,1,,1,0,0
Dock,3,Agent-Augmented,0.833,67,shared,45,22,0
DotnetPackaging,4,Agentic Orchestration,0.555,4,"github-copilot, shared",3,0,1
ESPresense-companion,2,Grounded Prompting,0.627,6,"claude-code, shared",6,0,0
Effekseer,1,Ad Hoc,1.0,27,,20,7,0
EnergyMatching,1,Ad Hoc,1.0,1,,0,1,0
FRUITY-NILA,1,Ad Hoc,1.0,2,,1,0,1
Foundation-Models-Playgrounds,1,Ad Hoc,1.0,1,,0,0,1
FreeRide,3,Agent-Augmented,0.527,4,claude-code,3,1,0
Generative-AI-for-beginners-dotnet,4,Agentic Orchestration,0.733,236,"github-copilot, shared",160,38,38
GitHub,1,Ad Hoc,1.0,4,,2,2,0
HARK,4,Agentic Orchestration,0.672,19,github-copilot,6,8,5
Harmonic-HN,2,Grounded Prompting,0.615,2,shared,2,0,0
HtmlTinkerX,3,Agent-Augmented,0.38,1,github-copilot,0,1,0
IfcLCA,1,Ad Hoc,1.0,1,,1,0,0
InvokeAI,4,Agentic Orchestration,0.738,72,github-copilot,34,32,6
Ity,1,Ad Hoc,1.0,1,,1,0,0
JLBH,2,Grounded Prompting,0.44,1,shared,1,0,0
JSON.bundle,1,Ad Hoc,1.0,1,,1,0,0
Java-Runtime-Compiler,2,Grounded Prompting,0.44,1,shared,1,0,0
KToolBox,3,Agent-Augmented,0.728,27,github-copilot,19,8,0
KeepYard,4,Agentic Orchestration,0.497,3,github-copilot,2,0,1
Kiln,3,Agent-Augmented,0.752,24,"cursor, github-copilot, shared",13,11,0
KuzuMem-MCP,4,Agentic Orchestration,0.715,13,cursor,4,8,1
LangBot,3,Agent-Augmented,0.748,25,"claude-code, github-copilot, shared",15,10,0
LarAgent,1,Ad Hoc,1.0,5,,2,3,0
Laragon-Dashboard,3,Agent-Augmented,0.61,7,github-copilot,5,2,0
LcdMenu,3,Agent-Augmented,0.44,4,github-copilot,2,2,0
LightResults,4,Agentic Orchestration,0.51,8,shared,5,1,2
Lilia,1,Ad Hoc,1.0,253,,156,95,2
LogicAppsUX,4,Agentic Orchestration,0.79,70,"claude-code, github-copilot",52,12,6
Low-Brightness-for-Android,1,Ad Hoc,1.0,2,,2,0,0
MIToS.jl,4,Agentic Orchestration,0.7,21,shared,15,4,2
MMM-Chores,1,Ad Hoc,1.0,5,,1,0,4
MacroModelling.jl,4,Agentic Orchestration,0.696,23,"github-copilot, shared",12,6,5
Microsoft365DSC,4,Agentic Orchestration,0.726,1112,"github-copilot, shared",797,277,38
MoonDAO,1,Ad Hoc,1.0,12,,7,0,5
MqDockerUp,1,Ad Hoc,1.0,1,,1,0,0
NepTrainKit,1,Ad Hoc,1.0,13,,7,6,0
OpenAI-GPT-4o-Mini-TTS-Home-Assistant-Integration,1,Ad Hoc,1.0,2,,2,0,0
OpenSCAD-MCP-Server,1,Ad Hoc,1.0,14,,10,3,1
P.910,1,Ad Hoc,1.0,13,,2,11,0
PMSS,4,Agentic Orchestration,0.767,42,"github-copilot, shared",32,8,2
POS-Awesome-V15,2,Grounded Prompting,0.65,5,claude-code,5,0,0
PRarena,4,Agentic Orchestration,0.45,5,"github-copilot, shared",3,0,2
ParsedownExtended,3,Agent-Augmented,0.634,13,github-copilot,9,4,0
PixelPruner,1,Ad Hoc,1.0,1,,0,1,0
Prebid.js,4,Agentic Orchestration,0.744,664,"claude-code, github-copilot, shared",230,431,3
Prismify,1,Ad Hoc,1.0,2,,2,0,0
Protelis,2,Grounded Prompting,0.527,4,shared,4,0,0
PwshSpectreConsole,3,Agent-Augmented,0.641,8,github-copilot,6,2,0
PyAirbyte,3,Agent-Augmented,0.58,5,github-copilot,4,1,0
QuantX,1,Ad Hoc,1.0,3,,1,2,0
RapidRails,3,Agent-Augmented,0.44,4,github-copilot,1,3,0
Recoup-Chat,4,Agentic Orchestration,0.56,7,cursor,5,1,1
RemoteBlazorWebView,4,Agentic Orchestration,0.695,10,github-copilot,9,0,1
ResoniteMetricsCounter,1,Ad Hoc,1.0,1,,0,0,1
Reticulum-Telemetry-Hub,1,Ad Hoc,1.0,5,,0,5,0
SPHExample,2,Grounded Prompting,0.44,2,shared,2,0,0
ScrumAgent,1,Ad Hoc,1.0,1,,0,1,0
Shopping-Cart-Calculator-for-Android,1,Ad Hoc,1.0,2,,1,1,0
Smart-Cleaner-for-Android,4,Agentic Orchestration,0.789,53,shared,36,7,10
SpotifyScraper,4,Agentic Orchestration,0.773,57,github-copilot,43,9,5
StikDebug,1,Ad Hoc,1.0,2,,2,0,0
Stock.Indicators,4,Agentic Orchestration,0.764,197,github-copilot,127,52,18
StockSharp,1,Ad Hoc,1.0,57,,34,18,5
Svg.Skia,3,Agent-Augmented,0.557,3,shared,2,1,0
TSDataStructure,2,Grounded Prompting,0.557,3,shared,3,0,0
TabPFN,3,Agent-Augmented,0.615,4,github-copilot,3,1,0
Techinterview-space__frontend,1,Ad Hoc,1.0,1,,1,0,0
TheMessage,3,Agent-Augmented,0.58,5,github-copilot,4,1,0
Trade-Suite-v2,4,Agentic Orchestration,0.742,57,shared,32,11,14
UV-KX,3,Agent-Augmented,0.716,18,github-copilot,14,4,0
UserDO,4,Agentic Orchestration,0.685,8,shared,6,1,1
VRM-Addon-for-Blender,3,Agent-Augmented,0.704,26,github-copilot,6,20,0
Valour,3,Agent-Augmented,0.638,12,github-copilot,8,4,0
Void,4,Agentic Orchestration,0.689,45,"github-copilot, shared",21,23,1
Vybn,4,Agentic Orchestration,0.758,139,shared,27,16,96
Webscout,4,Agentic Orchestration,0.771,29,github-copilot,15,13,1
WinUI-Gallery,3,Agent-Augmented,0.627,6,github-copilot,5,1,0
WorkflowAI,4,Agentic Orchestration,0.746,91,"cursor, shared",46,20,25
WxJava,3,Agent-Augmented,0.907,45,github-copilot,35,10,0
Xaml.Behaviors,1,Ad Hoc,1.0,523,,217,290,16
YTbeatmakercues,1,Ad Hoc,1.0,1,,0,1,0
accessibility-checker,3,Agent-Augmented,0.655,14,github-copilot,10,4,0
aci,3,Agent-Augmented,0.615,10,"claude-code, github-copilot",6,4,0
adx-mon,4,Agentic Orchestration,0.733,42,github-copilot,26,10,6
aeamcp,4,Agentic Orchestration,0.717,130,github-copilot,44,46,40
aflat,4,Agentic Orchestration,0.773,37,shared,24,10,3
agent,3,Agent-Augmented,0.685,10,"claude-code, shared",7,3,0
agentmark,3,Agent-Augmented,0.568,6,github-copilot,4,2,0
ai-shifu,3,Agent-Augmented,0.683,17,"claude-code, cursor, gemini-cli, github-copilot",12,5,0
