id,name,url,stars,forks,primary_language,repo_created,first_agent_adopted_at,agent_adopt_month,agent_adopt_week,num_agent_prs,num_prs,num_human_prs,num_bot_prs,agent_prs_per_month,human_prs_per_month,bot_prs_per_month,total_prs_per_month
843988367,Metta-AI/metta,https://github.com/Metta-AI/metta,72.0,32.0,Python,2024-08-18T03:16:25Z,2025-05-19 18:03:56+00:00,2025-05,2025-W20,120,4076,3883.0,73.0,"{'2025-05': 39, '2025-06': 29, '2025-07': 24, '2025-08': 12, '2025-09': 4, '2025-10': 6, '2025-11': 6}","{'2024-10': 2, '2024-11': 3, '2024-12': 13, '2025-01': 39, '2025-02': 18, '2025-03': 25, '2025-04': 160, '2025-05': 385, '2025-06': 461, '2025-07': 596, '2025-08': 525, '2025-09': 583, '2025-10': 506, '2025-11': 567}","{'2025-05': 63, '2025-06': 10}","{'2024-10': 2, '2024-11': 3, '2024-12': 13, '2025-01': 39, '2025-02': 18, '2025-03': 25, '2025-04': 160, '2025-05': 487, '2025-06': 500, '2025-07': 620, '2025-08': 537, '2025-09': 587, '2025-10': 512, '2025-11': 573}"
995029641,ruvnet/claude-flow,https://github.com/ruvnet/claude-flow,4630.0,617.0,TypeScript,2025-06-02T21:24:20Z,2025-06-17 22:45:57+00:00,2025-06,2025-W24,41,265,187.0,37.0,"{'2025-06': 1, '2025-07': 15, '2025-08': 3, '2025-09': 3, '2025-10': 6, '2025-11': 13}","{'2025-06': 28, '2025-07': 96, '2025-08': 30, '2025-09': 15, '2025-10': 13, '2025-11': 5}","{'2025-06': 22, '2025-07': 8, '2025-08': 2, '2025-09': 2, '2025-10': 3}","{'2025-06': 51, '2025-07': 119, '2025-08': 35, '2025-09': 20, '2025-10': 22, '2025-11': 18}"
999285986,sugyan/claude-code-webui,https://github.com/sugyan/claude-code-webui,367.0,90.0,TypeScript,2025-06-10T03:06:25Z,2025-06-13 04:05:15+00:00,2025-06,2025-W23,13,260,191.0,56.0,"{'2025-06': 5, '2025-07': 5, '2025-08': 2, '2025-09': 1}","{'2025-06': 68, '2025-07': 72, '2025-08': 25, '2025-09': 26}","{'2025-09': 39, '2025-10': 16, '2025-11': 1}","{'2025-06': 73, '2025-07': 77, '2025-08': 27, '2025-09': 66, '2025-10': 16, '2025-11': 1}"
3729629,dotCMS/core,https://github.com/dotCMS/core,912.0,477.0,Java,2012-03-15T15:24:14Z,2025-05-21 04:10:05+00:00,2025-05,2025-W20,27,2908,2807.0,74.0,"{'2025-05': 2, '2025-06': 2, '2025-07': 13, '2025-09': 3, '2025-10': 5, '2025-11': 2}","{'2024-01': 131, '2024-02': 120, '2024-03': 146, '2024-04': 144, '2024-05': 138, '2024-06': 156, '2024-07': 177, '2024-08': 190, '2024-09': 145, '2024-10': 147, '2024-11': 124, '2024-12': 94, '2025-01': 100, '2025-02': 81, '2025-03': 76, '2025-04': 97, '2025-05': 97, '2025-06': 100, '2025-07': 139, '2025-08': 107, '2025-09': 120, '2025-10': 93, '2025-11': 85}","{'2024-01': 3, '2024-02': 3, '2024-03': 4, '2024-04': 4, '2024-05': 3, '2024-06': 3, '2024-07': 1, '2024-08': 4, '2024-09': 12, '2024-10': 11, '2024-11': 5, '2024-12': 5, '2025-01': 5, '2025-02': 7, '2025-03': 3, '2025-08': 1}","{'2024-01': 134, '2024-02': 123, '2024-03': 150, '2024-04': 148, '2024-05': 141, '2024-06': 159, '2024-07': 178, '2024-08': 194, '2024-09': 157, '2024-10': 158, '2024-11': 129, '2024-12': 99, '2025-01': 105, '2025-02': 88, '2025-03': 79, '2025-04': 97, '2025-05': 99, '2025-06': 102, '2025-07': 152, '2025-08': 108, '2025-09': 123, '2025-10': 98, '2025-11': 87}"
136202695,mlflow/mlflow,https://github.com/mlflow/mlflow,21402.0,4716.0,Python,2018-06-05T16:05:58Z,2025-05-21 12:41:48+00:00,2025-05,2025-W20,507,6644,5960.0,177.0,"{'2025-05': 29, '2025-06': 41, '2025-07': 24, '2025-08': 53, '2025-09': 161, '2025-10': 117, '2025-11': 82}","{'2024-01': 145, '2024-02': 242, '2024-03': 201, '2024-04': 232, '2024-05': 284, '2024-06': 254, '2024-07': 230, '2024-08': 131, '2024-09': 191, '2024-10': 275, '2024-11': 255, '2024-12': 212, '2025-01': 175, '2025-02': 300, '2025-03': 293, '2025-04': 294, '2025-05': 323, '2025-06': 337, '2025-07': 341, '2025-08': 329, '2025-09': 291, '2025-10': 339, '2025-11': 286}","{'2025-02': 25, '2025-03': 15, '2025-04': 24, '2025-06': 17, '2025-07': 16, '2025-08': 17, '2025-09': 18, '2025-10': 22, '2025-11': 23}","{'2024-01': 145, '2024-02': 242, '2024-03': 201, '2024-04': 232, '2024-05': 284, '2024-06': 254, '2024-07': 230, '2024-08': 131, '2024-09': 191, '2024-10': 275, '2024-11': 255, '2024-12': 212, '2025-01': 175, '2025-02': 325, '2025-03': 308, '2025-04': 318, '2025-05': 352, '2025-06': 395, '2025-07': 381, '2025-08': 399, '2025-09': 470, '2025-10': 478, '2025-11': 391}"
772371208,Jij-Inc/ommx,https://github.com/Jij-Inc/ommx,40.0,1.0,Rust,2024-03-15T03:59:27Z,2025-02-26 09:26:45+00:00,2025-02,2025-W08,37,631,393.0,201.0,"{'2025-02': 3, '2025-03': 3, '2025-04': 3, '2025-05': 1, '2025-06': 7, '2025-07': 5, '2025-08': 1, '2025-09': 2, '2025-10': 7, '2025-11': 5}","{'2024-03': 5, '2024-04': 15, '2024-05': 18, '2024-06': 25, '2024-07': 7, '2024-08': 1, '2024-09': 1, '2024-10': 15, '2024-11': 31, '2024-12': 56, '2025-01': 12, '2025-02': 42, '2025-03': 23, '2025-04': 23, '2025-05': 29, '2025-06': 34, '2025-07': 34, '2025-08': 6, '2025-09': 3, '2025-10': 5, '2025-11': 8}","{'2024-05': 3, '2024-06': 9, '2024-07': 7, '2024-08': 4, '2024-09': 6, '2024-10': 6, '2024-11': 6, '2024-12': 24, '2025-01': 7, '2025-02': 12, '2025-03': 17, '2025-04': 12, '2025-05': 7, '2025-06': 10, '2025-07': 26, '2025-08': 14, '2025-09': 8, '2025-10': 11, '2025-11': 12}","{'2024-03': 5, '2024-04': 15, '2024-05': 21, '2024-06': 34, '2024-07': 14, '2024-08': 5, '2024-09': 7, '2024-10': 21, '2024-11': 37, '2024-12': 80, '2025-01': 19, '2025-02': 57, '2025-03': 43, '2025-04': 38, '2025-05': 37, '2025-06': 51, '2025-07': 65, '2025-08': 21, '2025-09': 13, '2025-10': 23, '2025-11': 25}"
826170402,elizaOS/eliza,https://github.com/elizaOS/eliza,16507.0,5289.0,TypeScript,2024-07-09T07:55:40Z,2024-07-25 09:44:54+00:00,2024-07,2024-W30,73,4573,4269.0,231.0,"{'2024-07': 1, '2025-01': 12, '2025-05': 25, '2025-06': 8, '2025-07': 26, '2025-10': 1}","{'2024-07': 4, '2024-09': 2, '2024-10': 26, '2024-11': 385, '2024-12': 615, '2025-01': 1020, '2025-02': 439, '2025-03': 256, '2025-04': 238, '2025-05': 375, '2025-06': 391, '2025-07': 242, '2025-08': 95, '2025-09': 96, '2025-10': 60, '2025-11': 25}","{'2024-10': 60, '2024-11': 39, '2024-12': 26, '2025-01': 6, '2025-02': 9, '2025-03': 65, '2025-04': 3, '2025-05': 16, '2025-06': 2, '2025-07': 2, '2025-08': 1, '2025-09': 1, '2025-11': 1}","{'2024-07': 5, '2024-09': 2, '2024-10': 86, '2024-11': 424, '2024-12': 641, '2025-01': 1038, '2025-02': 448, '2025-03': 321, '2025-04': 241, '2025-05': 416, '2025-06': 401, '2025-07': 270, '2025-08': 96, '2025-09': 97, '2025-10': 61, '2025-11': 26}"
839216423,liam-hq/liam,https://github.com/liam-hq/liam,4194.0,165.0,TypeScript,2024-08-07T07:11:45Z,2025-02-06 03:51:42+00:00,2025-02,2025-W05,745,3767,2227.0,795.0,"{'2025-02': 23, '2025-03': 27, '2025-04': 76, '2025-05': 24, '2025-06': 145, '2025-07': 95, '2025-08': 133, '2025-09': 105, '2025-10': 108, '2025-11': 9}","{'2024-08': 6, '2024-09': 3, '2024-10': 59, '2024-11': 40, '2024-12': 259, '2025-01': 193, '2025-02': 99, '2025-03': 204, '2025-04': 250, '2025-05': 109, '2025-06': 211, '2025-07': 275, '2025-08': 205, '2025-09': 182, '2025-10': 120, '2025-11': 12}","{'2024-10': 1, '2024-11': 1, '2024-12': 17, '2025-01': 13, '2025-02': 16, '2025-03': 14, '2025-04': 162, '2025-05': 136, '2025-06': 61, '2025-07': 80, '2025-08': 96, '2025-09': 80, '2025-10': 78, '2025-11': 40}","{'2024-08': 6, '2024-09': 3, '2024-10': 60, '2024-11': 41, '2024-12': 276, '2025-01': 206, '2025-02': 138, '2025-03': 245, '2025-04': 488, '2025-05': 269, '2025-06': 417, '2025-07': 450, '2025-08': 434, '2025-09': 367, '2025-10': 306, '2025-11': 61}"
1012151131,Airbolt-AI/airbolt,https://github.com/Airbolt-AI/airbolt,19.0,0.0,TypeScript,2025-07-01T22:36:59Z,2025-07-03 02:16:28+00:00,2025-07,2025-W26,22,89,67.0,,"{'2025-07': 21, '2025-08': 1}","{'2025-07': 61, '2025-08': 2, '2025-09': 4}",{},"{'2025-07': 82, '2025-08': 3, '2025-09': 4}"
1002552148,amantus-ai/vibetunnel,https://github.com/amantus-ai/vibetunnel,1691.0,106.0,TypeScript,2025-06-15T17:56:11Z,2025-06-20 19:52:04+00:00,2025-06,2025-W24,19,322,302.0,1.0,"{'2025-06': 3, '2025-07': 12, '2025-08': 2, '2025-09': 1, '2025-11': 1}","{'2025-06': 73, '2025-07': 201, '2025-08': 23, '2025-09': 1, '2025-10': 3, '2025-11': 1}",{'2025-06': 1},"{'2025-06': 77, '2025-07': 213, '2025-08': 25, '2025-09': 2, '2025-10': 3, '2025-11': 2}"
