"Setting","Outcome","Time","Estimate","SE","CI_Lower","CI_Upper","Significant","Percent_Change"
"L1 Full Subset","Commits",-6,-0.310957403448888,0.119453304787247,-0.545085880831892,-0.0768289260658841,TRUE,-26.7254912381852
"L1 Full Subset","Commits",-5,-0.19593131631175,0.130537582918643,-0.451784978832291,0.0599223462087912,FALSE,-17.7931304550804
"L1 Full Subset","Commits",-4,0.0049570412509567,0.102942536902779,-0.196810331078489,0.206724413580403,FALSE,0.496934770607105
"L1 Full Subset","Commits",-3,-0.0827328791318503,0.127667057238921,-0.332960311320136,0.167494553056436,FALSE,-7.94029749443389
"L1 Full Subset","Commits",-2,-0.0727564882371532,0.108695858935514,-0.285800371750761,0.140287395276455,FALSE,-7.01727736733815
"L1 Full Subset","Commits",0,0.970831000001582,0.113066268448679,0.749221113842172,1.19244088616099,TRUE,164.013750228719
"L1 Full Subset","Commits",1,0.43929804926228,0.121076876689654,0.201987370950558,0.676608727574002,TRUE,55.1617676980817
"L1 Full Subset","Commits",2,0.0984366880654527,0.132630841937872,-0.161519762132777,0.358393138263682,FALSE,10.3444540974266
"L1 Full Subset","Commits",3,-0.0271251631511015,0.147381976930418,-0.315993837934721,0.261743511632518,FALSE,-2.67605798118823
"L1 Full Subset","Commits",4,0.139900439960607,0.13440099986527,-0.123525519775322,0.403326399696535,FALSE,15.0159283253184
"L1 Full Subset","Commits",5,0.0505294402904245,0.157669588986523,-0.258502954123161,0.35956183470401,FALSE,5.18278290159448
"L1 Full Subset","Commits",6,-0.355713028066848,0.206048463976762,-0.759568017461301,0.0481419613276059,FALSE,-29.9326334937067
"L1 Full Subset","Lines Added",-6,-0.166892846631847,0.428183645437481,-1.00613279168931,0.672347098425617,FALSE,-15.3709710666187
"L1 Full Subset","Lines Added",-5,-0.250290184503697,0.367392919149022,-0.970380306035781,0.469799937028386,FALSE,-22.1425180060224
"L1 Full Subset","Lines Added",-4,0.448041702029264,0.266115236138723,-0.0735441608026329,0.969627564861161,FALSE,56.5243968142279
"L1 Full Subset","Lines Added",-3,0.265051055833176,0.266162024111322,-0.256626511425015,0.786728623091367,FALSE,30.3497525231679
"L1 Full Subset","Lines Added",-2,0.116103571783513,0.270144287322183,-0.413379231367966,0.645586374934993,FALSE,12.311218884207
"L1 Full Subset","Lines Added",0,1.4586928007059,0.249511585609329,0.96965009291162,1.94773550850019,TRUE,330.033445843405
"L1 Full Subset","Lines Added",1,0.366681224510261,0.297968301906962,-0.217336647227384,0.950699096247907,FALSE,44.2937872566302
"L1 Full Subset","Lines Added",2,-0.0657541622449813,0.324716068856707,-0.702197657204127,0.570689332714165,FALSE,-6.36389711078849
"L1 Full Subset","Lines Added",3,-0.00423874185605423,0.340387127856231,-0.671397512454267,0.662920028742159,FALSE,-0.422977106921885
"L1 Full Subset","Lines Added",4,0.528910412841514,0.29432990569604,-0.0479762023227251,1.10579702800575,FALSE,69.7082181912132
"L1 Full Subset","Lines Added",5,-0.0426369565440248,0.37572245387241,-0.779052966133949,0.693779053045899,FALSE,-4.1740783337137
"L1 Full Subset","Lines Added",6,-0.567693453295996,0.655721342448459,-1.85290728449497,0.717520377902983,FALSE,-43.3168644964263
"L1 Full Subset","Duplicated Lines Density",-6,0.321497452490429,0.272233143468148,-0.21207950870714,0.855074413687999,FALSE,37.9191492518119
"L1 Full Subset","Duplicated Lines Density",-5,0.0565543799918476,0.126845176927942,-0.192062166786919,0.305170926770614,FALSE,5.81841572814783
"L1 Full Subset","Duplicated Lines Density",-4,0.00224685911235235,0.0772832819745704,-0.149228373557806,0.15372209178251,FALSE,0.224938519184836
"L1 Full Subset","Duplicated Lines Density",-3,-0.0722212336320024,0.0773033065950152,-0.223735714558232,0.0792932472942273,FALSE,-6.96749461481433
"L1 Full Subset","Duplicated Lines Density",-2,0.0892756836934757,0.0671198721656992,-0.0422792657512948,0.220830633138246,FALSE,9.33820423806346
"L1 Full Subset","Duplicated Lines Density",0,0.14973925405129,0.072640519979922,0.00736383489064243,0.292114673211937,TRUE,16.1531338648641
"L1 Full Subset","Duplicated Lines Density",1,0.144308305469732,0.0856200843333155,-0.0235070598235659,0.312123670763031,FALSE,15.5240220505294
"L1 Full Subset","Duplicated Lines Density",2,0.25911113541006,0.0983622615827028,0.0663211027079625,0.451901168112157,TRUE,29.577780362377
"L1 Full Subset","Duplicated Lines Density",3,0.322610487455625,0.105447107111295,0.115934157517487,0.529286817393763,TRUE,38.0727435493543
"L1 Full Subset","Duplicated Lines Density",4,0.36183895374277,0.111886178553998,0.142542043776934,0.581135863708605,TRUE,43.5967666119665
"L1 Full Subset","Duplicated Lines Density",5,0.375885810294477,0.137704445665285,0.105985096790518,0.645786523798437,TRUE,45.6280831996927
"L1 Full Subset","Duplicated Lines Density",6,0.436419690510968,0.174234616981553,0.0949198412271243,0.777919539794813,TRUE,54.7157986035845
"L1 Full Subset","% Comment Lines",-6,0.01573426467701,0.0953569469378403,-0.171165351321157,0.202633880675177,FALSE,1.58586999955979
"L1 Full Subset","% Comment Lines",-5,0.072672897982208,0.115227060639233,-0.153172140870688,0.298517936835104,FALSE,7.53787208284911
"L1 Full Subset","% Comment Lines",-4,0.0431329233056983,0.0883048423586881,-0.12994456771733,0.216210414328727,FALSE,4.40766677494118
"L1 Full Subset","% Comment Lines",-3,0.106099651572442,0.0861043909039108,-0.0626649545992235,0.274864257744107,FALSE,11.1932676825421
"L1 Full Subset","% Comment Lines",-2,0.0751415210148285,0.0686949910918507,-0.0595006615251988,0.209783703554856,FALSE,7.80367049380799
"L1 Full Subset","% Comment Lines",0,0.115248220514121,0.0547386501451763,0.00796046622957586,0.222535974798667,TRUE,12.2151944137483
