group,column,n,mean,median,min,max
level_1,age_days,236,1042.3093220338983,554.5,0.0,5251.0
level_1,forks,236,171.73728813559322,10.0,0.0,6026.0
level_1,num_agent_prs,236,109.39406779661017,23.0,10.0,13462.0
level_1,num_bot_prs,102,263.15686274509807,29.5,1.0,9482.0
level_1,num_human_prs,221,444.868778280543,38.0,1.0,28113.0
level_1,num_prs,236,639.7245762711865,87.0,10.0,31836.0
level_1,stars,236,831.3093220338983,55.0,10.0,26818.0
level_2plus,age_days,273,1056.5018315018315,640.0,0.0,5222.0
level_2plus,forks,273,773.2893772893773,38.0,0.0,45908.0
level_2plus,num_agent_prs,273,123.47619047619048,39.0,10.0,4023.0
level_2plus,num_bot_prs,168,236.69642857142858,49.5,1.0,6238.0
level_2plus,num_human_prs,268,1108.6380597014925,210.5,1.0,34366.0
level_2plus,num_prs,273,1357.4688644688645,389.0,10.0,35389.0
level_2plus,stars,273,4907.065934065934,174.0,10.0,177379.0
