"Setting","Outcome","Estimate","SE","CI_Lower","CI_Upper","p_value","Sig","Percent_Change"
"Repositories without prior AI traces (AF)","Commits",0.301199732886382,0.0521469646639358,0.198991682145068,0.403407783627696,7.65072640691041e-09,"***",35.1479249433751
"Repositories without prior AI traces (AF)","Lines Added",0.492239433966213,0.115594732316858,0.265673758625171,0.718805109307255,2.05968384069186e-05,"***",63.5975780484612
"Repositories without prior AI traces (AF)","Duplicated Lines Density",0.124911074939796,0.0439567953284148,0.0387557560961028,0.211066393783489,0.00448767387207493,"**",13.3047692252564
"Repositories without prior AI traces (AF)","Comment Lines Density",0.0311466329942557,0.0288265052437693,-0.0253533172835321,0.0876465832720435,0.279925854064441,"",3.16367647841371
"Repositories without prior AI traces (AF)","Quality Warnings",0.200189254012924,0.0527446549224221,0.096809730364977,0.303568777660872,0.000147380925066775,"***",22.163393540847
"Repositories without prior AI traces (AF)","Cognitive Complexity",0.358876965316928,0.0684483498716528,0.224718199568488,0.493035731065367,1.57958172498201e-07,"***",43.1720639439733
"Repositories with prior AI traces (IF)","Commits",0.0617567829776251,0.0928238081680648,-0.120177881031782,0.243691446987032,0.505851029107129,"",6.37036024411697
"Repositories with prior AI traces (IF)","Lines Added",-0.0531812856370501,0.188827550678405,-0.423283284966723,0.316920713692623,0.778219995070206,"",-5.17918996093629
"Repositories with prior AI traces (IF)","Duplicated Lines Density",-0.0125316007788959,0.0562616318827831,-0.122804399269151,0.0977411977113591,0.823739460222508,"",-1.24534072407375
"Repositories with prior AI traces (IF)","Comment Lines Density",0.190527767852192,0.0555002885721922,0.0817472022506953,0.299308333453689,0.000597129477818241,"***",20.9887969161332
"Repositories with prior AI traces (IF)","Quality Warnings",0.182929683220253,0.113488021125603,-0.0395068381859296,0.405366204626436,0.106986881945549,"",20.0729973647194
"Repositories with prior AI traces (IF)","Cognitive Complexity",0.37035129462699,0.112847365131056,0.149170458970121,0.591532130283859,0.00103118178501106,"**",44.824328539618
