"Setting","Outcome","Estimate","SE","CI_Lower","CI_Upper","p_value","Sig","Percent_Change"
"L1 Full Subset","Commits",0.238472941028965,0.0947212332818922,0.0528193237964559,0.424126558261473,0.0118147635117376,"*",26.9309359366527
"L1 Full Subset","Lines Added",0.273798704297211,0.235201757392846,-0.187196740192767,0.734794148787188,0.244382905455752,"",31.4950081795227
"L1 Full Subset","Duplicated Lines Density",0.287915676017826,0.0729134259320749,0.14500536119096,0.430825990844693,7.8565809695329e-05,"***",33.3644841137978
"L1 Full Subset","Comment Lines Density",0.140939244450017,0.0557652659335147,0.0316393232203286,0.250239165679706,0.0114921626484705,"*",15.135469467204
"L1 Full Subset","Quality Warnings",0.36899950007604,0.0699655840212676,0.231866955394356,0.506132044757725,1.33471402093988e-07,"***",44.6286880641095
"L1 Full Subset","Cognitive Complexity",0.67319273029574,0.0927547855743507,0.491393350570013,0.854992110021467,3.93529261381053e-13,"***",96.0486644228427
"L2 Full Subset","Commits",0.211492396921159,0.0822112243434471,0.0503583972080023,0.372626396634315,0.0100952685795069,"*",23.5520571832672
"L2 Full Subset","Lines Added",0.528821060583026,0.194361264556696,0.147872982051902,0.90976913911415,0.00651211779565983,"**",69.6930550560742
"L2 Full Subset","Duplicated Lines Density",0.0204336243657086,0.0521955842050373,-0.0818697206761645,0.122736969407582,0.695441094893342,"",2.06438201138603
"L2 Full Subset","Comment Lines Density",0.14838842304071,0.0529838254734512,0.0445401251127451,0.252236720968674,0.00510019699056316,"**",15.9963365368528
"L2 Full Subset","Quality Warnings",0.0734133727355755,0.0735117579825194,-0.0706696729101625,0.217496418381314,0.31795862949339,"",7.61753065109689
"L2 Full Subset","Cognitive Complexity",0.272390019075906,0.0904174780937877,0.0951717620120817,0.44960827613973,0.00259035895292082,"**",31.3099035125392
"L12 Full Subset","Commits",0.224196629162804,0.0729400049989099,0.0812342193649404,0.367159038960667,0.00211412829141464,"**",25.1317040662203
"L12 Full Subset","Lines Added",0.343879692426591,0.179635869406105,-0.00820661160937397,0.695965996462556,0.0555798812219901,".",41.0408942422825
"L12 Full Subset","Duplicated Lines Density",0.20868029521604,0.0557360104543424,0.0994377147255289,0.317922875706551,0.00018105320495523,"***",23.2051042946355
"L12 Full Subset","Comment Lines Density",0.145407968496044,0.0430897909640206,0.0609519782065638,0.229863958785524,0.000739407575619099,"***",15.6511294210582
"L12 Full Subset","Quality Warnings",0.291107601669117,0.0544246514933227,0.184435284742204,0.397779918596029,8.85300986110094e-08,"***",33.790853739683
"L12 Full Subset","Cognitive Complexity",0.561992289660207,0.0727571653108008,0.419388245651038,0.704596333669377,1.12541077068685e-14,"***",75.4163823725817
"L3 Full Subset","Commits",0.208825936653579,0.0877398833239533,0.0368557653386304,0.380796107968527,0.0173099532095933,"*",23.2230493698787
"L3 Full Subset","Lines Added",0.4301943733634,0.168887499925314,0.0991748735097838,0.761213873217016,0.0108583560945465,"*",53.7556354504994
"L3 Full Subset","Duplicated Lines Density",0.0756449187091676,0.0709194826500714,-0.0633572672849723,0.214647104703308,0.286138496178085,"",7.8579522744912
